Book|Chapter|Chinese|Pinyin|Part of Speech|English|Example_Chinese|Example_Pinyin|Example_English
置身事内|第一章|财税政策|cáishuì zhèngcè|n.|fiscal and tax policy|疫情期间，减税和增支相结合的财税政策帮助企业渡过难关。|Yìqíng qījiān, jiǎnshuì hé zēngzhī xiāngjiéhé de cáishuì zhèngcè bāngzhù qǐyè dùguònánguān.|During the pandemic, fiscal and tax policies combining tax cuts with higher spending helped firms weather the crisis.
置身事内|第一章|产业政策|chǎnyè zhèngcè|n.|industrial policy|地方的产业政策应考虑本地基础，不能盲目追逐热门行业。|Dìfāng de chǎnyè zhèngcè yīng kǎolǜ běndì jīchǔ, bùnéng mángmù zhuīzhú rèmén hángyè.|Local industrial policy should consider local foundations rather than blindly chase fashionable industries.
置身事内|第一章|行政体制|xíngzhèng tǐzhì|n.|administrative system|同一项改革在不同的行政体制下可能产生不同结果。|Tóng yíxiàng gǎigé zài bùtóng de xíngzhèng tǐzhì xià kěnéng chǎnshēng bùtóng jiéguǒ.|The same reform may produce different results under different administrative systems.
置身事内|第一章|垂直管理|chuízhí guǎnlǐ|n.|vertical administration|海关实行垂直管理，以减少地方利益对执法的干扰。|Hǎiguān shíxíng chuízhí guǎnlǐ, yǐ jiǎnshǎo dìfāng lìyì duì zhífǎ de gānrǎo.|Customs uses vertical administration to reduce interference by local interests in enforcement.
置身事内|第一章|地方管理|dìfāng guǎnlǐ|n.|local administration|贴近居民的社区服务更适合由地方管理。|Tiējìn jūmín de shèqūfúwù gèng shìhé yóu dìfāng guǎnlǐ.|Community services close to residents are better suited to local administration.
置身事内|第一章|分级管理|fēnjí guǎnlǐ|n.|administration by different levels|大型公共项目通常采用中央统筹、地方落实的分级管理模式。|Dàxíng gōnggòng xiàngmù tōngcháng cǎiyòng zhōngyāng tǒngchóu, dìfāng luòshí de fēnjí guǎnlǐ móshì.|Large public projects often use tiered administration in which the center coordinates and localities implement.
置身事内|第一章|双重领导|shuāngchóng lǐngdǎo|n.|dual leadership|某些部门同时接受上级业务部门和地方党委的双重领导。|Mǒuxiē bùmén tóngshí jiēshòu shàngjí yèwùbùmén hé dìfāngdǎngwěi de shuāngchóng lǐngdǎo.|Some departments operate under the dual leadership of a superior functional agency and the local Party committee.
置身事内|第一章|宏观调控|hóngguān tiáokòng|n.|macroeconomic regulation|经济过热时，政府会通过利率和财政手段加强宏观调控。|Jīngjìguòrè shí, zhèngfǔ huì tōngguò lìlǜ hé cáizhèng shǒuduàn jiāqiáng hóngguān tiáokòng.|When the economy overheats, the government strengthens macroeconomic regulation through interest-rate and fiscal measures.
置身事内|第一章|职能|zhínéng|n.|function; institutional responsibility|市场监管部门的核心职能之一是维护公平竞争。|Shìchǎng jiānguǎnbùmén de héxīn zhínéng zhīyī shì wéihù gōngpíngjìngzhēng.|One core function of the market-regulation department is to safeguard fair competition.
置身事内|第一章|职权|zhíquán|n.|official authority; powers of office|工作人员不得超越法定职权要求企业停产。|Gōngzuòrényuán bùdé chāoyuè fǎdìng zhíquán yāoqiú qǐyè tíngchǎn.|Officials may not order a firm to suspend production beyond their statutory authority.
置身事内|第一章|权限|quánxiàn|n.|scope of authority; authorization|系统按岗位设置数据查询和审批权限。|Xìtǒng àn gǎngwèi shèzhì shùjù cháxún hé shěnpī quánxiàn.|The system assigns data-query and approval permissions according to each position.
置身事内|第一章|管辖权|guǎnxiáquán|n.|jurisdiction|两地法院对这起跨省合同纠纷的管辖权存在争议。|Liǎngdì fǎyuàn duì zhèqǐ kuàshěng hétóngjiūfēn de guǎnxiáquán cúnzài zhēngyì.|Courts in the two localities disputed jurisdiction over this interprovincial contract case.
置身事内|第一章|行政区划|xíngzhèng qūhuà|n.|administrative divisions|城市扩张后，原有行政区划可能不再适应公共服务需求。|Chéngshì kuòzhāng hòu, yuányǒu xíngzhèng qūhuà kěnéng búzài shìyìng gōnggòngfúwù xūqiú.|After urban expansion, existing administrative divisions may no longer fit public-service needs.
置身事内|第一章|层级|céngjí|n.|hierarchical level|文件经过多个行政层级后，执行重点可能发生偏移。|Wénjiàn jīngguò duōge xíngzhèng céngjí hòu, zhíxíng zhòngdiǎn kěnéng fāshēng piānyí.|After a document passes through several administrative levels, its implementation priorities may shift.
置身事内|第一章|基层|jīcéng|n.|grassroots; lowest administrative level|基层最了解政策落地时遇到的具体困难。|Jīcéng zuì liǎojiě zhèngcè luòdì shí yùdào de jùtǐ kùnnán.|Grassroots officials best understand the concrete difficulties encountered during policy implementation.
置身事内|第一章|上级|shàngjí|n.|higher authority; superior level|遇到超出本级权限的问题，县里必须报请上级决定。|Yùdào chāochū běnjí quánxiàn de wèntí, xiànlǐ bìxū bàoqǐng shàngjí juédìng.|When an issue exceeds county authority, the county must refer it to the higher level for a decision.
置身事内|第一章|下级|xiàjí|n.|subordinate; lower level|上级下达目标时，也应给下级留下因地制宜的空间。|Shàngjí xiàdá mùbiāo shí, yě yīng gěi xiàjí liúxià yīndìzhìyí de kōngjiān.|When setting targets, higher authorities should also leave lower levels room to adapt to local conditions.
置身事内|第一章|自主权|zìzhǔquán|n.|autonomy|预算包干扩大了试点单位安排支出的自主权。|Yùsuàn bāogān kuòdà le shìdiǎndānwèi ānpái zhīchū de zìzhǔquán.|A lump-sum budget expanded the pilot unit's autonomy in arranging expenditures.
置身事内|第一章|决策权|juécèquán|n.|decision-making authority|谁掌握项目决策权，谁就应对项目结果负责。|Shuí zhǎngwò xiàngmù juécèquán, shuí jiù yìngduì xiàngmù jiéguǒ fùzé.|Whoever holds decision-making authority over a project should be responsible for its outcome.
置身事内|第一章|执法权|zhífǎquán|n.|law-enforcement authority|改革将部分市场执法权集中到综合执法机构。|Gǎigé jiāng bùfèn shìchǎng zhífǎquán jízhōng dào zōnghézhífǎ jīgòu.|The reform concentrated some market-enforcement authority in a comprehensive enforcement agency.
置身事内|第一章|审批权|shěnpīquán|n.|approval authority|取消不必要的审批权可以降低企业进入市场的门槛。|Qǔxiāo búbìyào de shěnpīquán kěyǐ jiàngdī qǐyè jìnrù shìchǎng de ménkǎn.|Eliminating unnecessary approval authority can lower barriers for firms entering the market.
置身事内|第一章|人事权|rénshìquán|n.|personnel authority|部门负责人有人事权，才能建立有效的团队考核制度。|Bùmén fùzérén yǒu rénshìquán, cáinéng jiànlì yǒuxiào de tuánduì kǎohézhìdù.|A department head needs personnel authority to establish an effective team assessment system.
置身事内|第一章|编制|biānzhì|n.|authorized staffing establishment|一些基层单位任务增加了，人员编制却没有相应调整。|Yìxiē jīcéngdānwèi rènwù zēngjiā le, rényuán biānzhì què méiyǒu xiāngyìng tiáozhěng.|Some grassroots units have received more tasks without a corresponding adjustment in authorized staffing.
置身事内|第一章|条块关系|tiáokuài guānxì|n.|vertical-horizontal bureaucratic relationship|环保局既受上级部门指导，也受地方政府领导，这体现了条块关系。|Huánbǎojú jìshòu shàngjíbùmén zhǐdǎo, yě shòu dìfāng zhèngfǔ lǐngdǎo, zhè tǐxiàn le tiáokuài guānxì.|An environmental bureau is guided by its superior agency and led by the local government, illustrating vertical-horizontal bureaucratic relations.
置身事内|第一章|属地管理|shǔdì guǎnlǐ|n.|territorial administration|安全事故发生后，地方政府按照属地管理原则先行处置。|Ānquánshìgù fāshēng hòu, dìfāng zhèngfǔ ànzhào shǔdì guǎnlǐ yuánzé xiānxíng chǔzhì.|After a safety accident, the local government responds first under the principle of territorial administration.
置身事内|第一章|分权|fēnquán|n.|decentralization|适度分权能让地方根据实际情况迅速作出反应。|Shìdù fēnquán néng ràng dìfāng gēnjù shíjì qíngkuàng xùnsù zuòchūfǎnyìng.|Moderate decentralization allows local governments to respond quickly to actual conditions.
置身事内|第一章|集权|jíquán|n.|centralization|在全国性危机中，适度集权有助于统一调配紧缺物资。|Zài quánguóxìng wēijī zhōng, shìdù jíquán yǒuzhùyú tǒngyī diàopèi jǐnquē wùzī.|During a nationwide crisis, moderate centralization helps unify the allocation of scarce supplies.
置身事内|第一章|放权|fàngquán|v.|delegate or devolve authority|中央向地方放权后，还需要建立相应的监督机制。|Zhōngyāng xiàng dìfāng fàngquán hòu, hái xūyào jiànlì xiāngyìng de jiāndūjīzhì.|After the center delegates authority to localities, corresponding oversight mechanisms are still needed.
置身事内|第一章|权力下放|quánlì xiàfàng|n.|devolution of power|权力下放若不伴随财力支持，地方可能无力承接新任务。|Quánlì xiàfàng ruò bù bànsuí cáilì zhīchí, dìfāng kěnéng wúlì chéngjiē xīn rènwù.|If devolution of power is not accompanied by fiscal support, localities may be unable to take on new tasks.
置身事内|第一章|权力上收|quánlì shàngshōu|n.|recentralization of authority|为统一环保标准，省里实行权力上收，将部分监测权集中到省级部门。|Wèi tǒngyī huánbǎo biāozhǔn, shěnglǐ shíxíng quánlì shàngshōu, jiāng bùfèn jiāncè quán jízhōng dào shěngjí bùmén.|To unify environmental standards, the province recentralized power by concentrating some monitoring authority in provincial departments.
置身事内|第一章|招商引资|zhāoshāng yǐnzī|v.|attract business and investment|县政府通过改善营商环境来招商引资，而不是只靠税收减免。|Xiànzhèngfǔ tōngguò gǎishàn yíngshāng huánjìng lái zhāoshāng yǐnzī, ér búshì zhǐkào shuìshōu jiǎnmiǎn.|The county government attracts business and investment by improving the business environment rather than relying only on tax reductions.
置身事内|第一章|招商|zhāoshāng|v.|attract businesses or investors|园区负责人到长三角招商，希望引进两家零部件企业。|Yuánqū fùzérén dào Chángsānjiǎo zhāoshāng, xīwàng yǐnjìn liǎngjiā língbùjiàn qǐyè.|The industrial-park director went to the Yangtze River Delta to attract investors, hoping to bring in two component manufacturers.
置身事内|第一章|工业园区|gōngyè yuánqū|n.|industrial park|新建工业园区必须同步规划污水处理和公共交通。|Xīnjiàn gōngyè yuánqū bìxū tóngbù guīhuà wūshuǐchǔlǐ hé gōnggòngjiāotōng.|A new industrial park must plan wastewater treatment and public transportation at the same time.
置身事内|第一章|产业园区|chǎnyè yuánqū|n.|industrial or development zone|这座产业园区围绕新能源汽车形成了专业化分工。|Zhèzuò chǎnyè yuánqū wéirào xīnnéngyuán qìchē xíngchéng le zhuānyèhuà fēngōng.|This industrial park has developed specialized divisions of labor around new-energy vehicles.
置身事内|第一章|土地开发|tǔdì kāifā|n.|land development|地方不能把土地开发当作弥补财政缺口的唯一办法。|Dìfāng bùnéng bǎ tǔdì kāifā dàngzuò míbǔ cáizhèng quēkǒu de wéiyī bànfǎ.|Local governments cannot treat land development as the sole way to close fiscal gaps.
置身事内|第一章|产业规划|chǎnyè guīhuà|n.|industrial planning|产业规划若忽视市场需求，建成的园区可能长期空置。|Chǎnyè guīhuà ruò hūshì shìchǎngxūqiú, jiànchéng de yuánqū kěnéng chángqī kōngzhì.|If industrial planning ignores market demand, completed parks may remain vacant for a long time.
置身事内|第一章|基础设施|jīchǔ shèshī|n.|infrastructure|完善道路、电网和通信等基础设施能够降低企业成本。|Wánshàn dàolù, diànwǎng hé tōngxìn děng jīchǔ shèshī nénggòu jiàngdī qǐyè chéngběn.|Improving infrastructure such as roads, power grids, and communications can reduce business costs.
置身事内|第一章|金融支持|jīnróng zhīchí|n.|financial support|初创企业缺少抵押物，往往更需要政策性金融支持。|Chūchuàng qǐyè quēshǎo dǐyāwù, wǎngwǎng gèng xūyào zhèngcèxìng jīnróng zhīchí.|Start-ups lack collateral and often need policy-based financial support more than established firms do.
置身事内|第一章|投融资平台|tóu róngzī píngtái|n.|investment and financing platform|当地通过投融资平台筹集地铁建设资金，同时也累积了债务风险。|Dāngdì tōngguò tóu róngzī píngtái chóují dìtiě jiànshè zījīn, tóngshí yě lěijī le zhàiwù fēngxiǎn.|The locality raised funds for subway construction through an investment and financing platform while also accumulating debt risk.
置身事内|第一章|国有企业 / 国企|guóyǒu qǐyè / guóqǐ|n.|state-owned enterprise / SOE|国有企业通常简称国企，在地方重大项目中常承担融资和建设任务。|Guóyǒuqǐyè tōngcháng jiǎnchēng guóqǐ, zài dìfāng zhòngdàxiàngmù zhōngcháng chéngdān róngzī hé jiànshè rènwù.|State-owned enterprises, commonly abbreviated as SOEs, often finance and build major local projects.
置身事内|第一章|科研院所|kēyán yuànsuǒ|n.|research institutes|政府推动高校、科研院所与制造企业共同建设实验室。|Zhèngfǔ tuīdòng gāoxiào, kēyán yuànsuǒ yǔ zhìzào qǐyè gòngtóng jiànshè shíyànshì.|The government encouraged universities, research institutes, and manufacturers to establish laboratories jointly.
置身事内|第一章|税收优惠|shuìshōu yōuhuì|n.|tax incentives|短期税收优惠能吸引企业，但未必能留住企业。|Duǎnqī shuìshōu yōuhuì néng xīyǐn qǐyè, dàn wèibì néng liúzhù qǐyè.|Short-term tax incentives can attract firms but may not keep them in the long run.
置身事内|第一章|补贴|bǔtiē|n.|subsidy|新能源汽车补贴逐步退出后，企业必须依靠产品竞争力。|Xīnnéngyuán qìchē bǔtiē zhúbù tuìchū hòu, qǐyè bìxū yīkào chǎnpǐn jìngzhēnglì.|As new-energy vehicle subsidies are phased out, firms must rely on product competitiveness.
置身事内|第一章|边际税率|biānjì shuìlǜ|n.|marginal tax rate|过高的边际税率可能削弱企业扩大投资的意愿。|Guògāo de biānjì shuìlǜ kěnéng xuēruò qǐyè kuòdà tóuzī de yìyuàn.|An excessively high marginal tax rate may weaken firms' willingness to expand investment.
置身事内|第一章|混合经济|hùnhé jīngjì|n.|mixed economy|在混合经济中，政府和市场共同影响资源流向。|Zài hùnhé jīngjì zhōng, zhèngfǔ hé shìchǎng gòngtóng yǐngxiǎng zīyuán liúxiàng.|In a mixed economy, both government and markets influence where resources flow.
置身事内|第一章|市场经济|shìchǎng jīngjì|n.|market economy|建设市场经济需要保护产权并维护公平竞争。|Jiànshè shìchǎng jīngjì xūyào bǎohù chǎnquán bìng wéihù gōngpíngjìngzhēng.|Building a market economy requires protecting property rights and safeguarding fair competition.
置身事内|第一章|经济建设|jīngjì jiànshè|n.|economic development or construction|改革初期，许多地方把经济建设放在政府工作的突出位置。|Gǎigé chūqī, xǔduō dìfāng bǎ jīngjì jiànshè fàngzài zhèngfǔ gōngzuò de tūchūwèizhì.|In the early reform period, many localities placed economic development at the forefront of government work.
置身事内|第一章|外部性|wàibùxìng|n.|externality|上游工厂排污会给下游居民带来未计入价格的外部性。|Shàngyóu gōngchǎng páiwū huì gěi xiàyóu jūmín dàilái wèi jìrù jiàgé de wàibùxìng.|Pollution from an upstream factory creates an externality for downstream residents that is not reflected in prices.
置身事内|第一章|正外部性|zhèng wàibùxìng|n.|positive externality|基础研究具有正外部性，因此私人投资往往低于社会所需水平。|Jīchǔ yánjiū jùyǒu zhèng wàibùxìng, yīncǐ sīrén tóuzī wǎngwǎng dīyú shèhuì suǒ xū shuǐpíng.|Basic research has positive externalities, so private investment often falls below the socially desirable level.
置身事内|第一章|负外部性|fù wàibùxìng|n.|negative externality|拥堵和污染是汽车使用产生的典型负外部性。|Yōngdǔ hé wūrǎn shì qìchē shǐyòng chǎnshēng de diǎnxíng fù wàibùxìng.|Congestion and pollution are typical negative externalities produced by automobile use.
置身事内|第一章|边际成本|biānjì chéngběn|n.|marginal cost|新增一名学生的边际成本取决于教室是否已经满员。|Xīnzēng yìmíng xuéshēng de biānjì chéngběn qǔjuéyú jiàoshì shìfǒu yǐjīng mǎnyuán.|The marginal cost of one additional student depends on whether the classroom is already full.
置身事内|第一章|交易成本|jiāoyì chéngběn|n.|transaction costs|统一市场规则可以降低企业跨地区经营的交易成本。|Tǒngyī shìchǎng guīzé kěyǐ jiàngdī qǐyè kuàdìqū jīngyíng de jiāoyì chéngběn.|Uniform market rules can reduce transaction costs for firms operating across regions.
置身事内|第一章|财政收入|cáizhèng shōurù|n.|fiscal revenue|土地出让收入下降后，该市的财政收入明显承压。|Tǔdìchūràng shōurù xiàjiàng hòu, gāishì de cáizhèng shōurù míngxiǎn chéngyā.|After land-transfer proceeds declined, the city's fiscal revenue came under clear pressure.
置身事内|第一章|财政支出|cáizhèng zhīchū|n.|government or fiscal expenditure|教育和社会保障占当地财政支出的较大比重。|Jiàoyù hé shèhuìbǎozhàng zhàn dāngdì cáizhèng zhīchū de jiàodà bǐzhòng.|Education and social security account for a large share of local fiscal expenditure.
置身事内|第一章|财政体制|cáizhèng tǐzhì|n.|fiscal system|财政体制决定不同层级政府如何筹钱、分钱和花钱。|Cáizhèng tǐzhì juédìng bùtóng céngjí zhèngfǔ rúhé chóuqián, fēnqián hé huāqián.|The fiscal system determines how different levels of government raise, divide, and spend money.
置身事内|第一章|财政激励|cáizhèng jīlì|n.|fiscal incentive|税收留成比例会改变地方发展产业的财政激励。|Shuìshōu liúchéng bǐlì huì gǎibiàn dìfāng fāzhǎn chǎnyè de cáizhèng jīlì.|The share of tax revenue retained locally changes local governments' fiscal incentives to develop industry.
置身事内|第一章|财政约束|cáizhèng yuēshù|n.|fiscal constraint|稳定的收入来源能缓解基层提供公共服务时面临的财政约束。|Wěndìng de shōurù láiyuán néng huǎnjiě jīcéng tígōng gōnggòngfúwù shí miànlín de cáizhèng yuēshù.|Stable revenue sources can ease the fiscal constraints grassroots governments face when providing public services.
置身事内|第一章|市场分割|shìchǎng fēngē|n.|market fragmentation|地方设置隐性准入门槛，会加剧国内市场分割。|Dìfāng shèzhì yǐnxìng zhǔnrù ménkǎn, huì jiājù guónèi shìchǎng fēngē.|Hidden local entry barriers intensify fragmentation of the domestic market.
置身事内|第一章|地方保护主义|dìfāng bǎohù zhǔyì|n.|local protectionism|禁止外地品牌参与采购是地方保护主义的表现。|Jìnzhǐ wàidì pǐnpái cānyù cǎigòu shì dìfāng bǎohù zhǔyì de biǎoxiàn.|Barring nonlocal brands from procurement is a manifestation of local protectionism.
置身事内|第一章|要素流动|yàosù liúdòng|n.|factor mobility|户籍和土地制度都会影响劳动力与资本的要素流动。|Hùjí hé tǔdì zhìdù dōu huì yǐngxiǎng láodònglì yǔ zīběn de yàosù liúdòng.|Household-registration and land institutions both affect the mobility of labor and capital.
置身事内|第一章|产业链|chǎnyèliàn|n.|industrial or supply chain|一家龙头企业落户后，相关供应商沿着产业链陆续集聚。|Yìjiā lóngtóuqǐyè luòhù hòu, xiāngguān gōngyìngshāng yánzhe chǎnyèliàn lùxù jíjù.|After a leading firm settled locally, related suppliers gradually clustered along the industrial chain.
置身事内|第一章|营商环境|yíngshāng huánjìng|n.|business environment|稳定透明的规则比一次性优惠更能改善营商环境。|Wěndìng tòumíng de guīzé bǐ yícìxìng yōuhuì gèngnéng gǎishàn yíngshāng huánjìng.|Stable and transparent rules improve the business environment more effectively than one-off incentives.
置身事内|第一章|资源禀赋|zīyuán bǐngfù|n.|resource endowment|沿海港口城市可以依托自身资源禀赋发展外向型产业。|Yánhǎigǎngkǒu chéngshì kěyǐ yītuō zìshēn zīyuán bǐngfù fāzhǎn wàixiàngxíng chǎnyè.|Coastal port cities can build export-oriented industries on their own resource endowments.
置身事内|第一章|比较优势|bǐjiào yōushì|n.|comparative advantage|中西部地区应根据比较优势选择产业，而非照搬沿海模式。|Zhōngxībù dìqū yīng gēnjù bǐjiào yōushì xuǎnzé chǎnyè, ér fēi zhàobān yánhǎi móshì.|Central and western regions should choose industries according to comparative advantage rather than copy coastal models.
置身事内|第一章|经济效益|jīngjì xiàoyì|n.|economic benefit or efficiency|项目评估既要看社会影响，也要核算长期经济效益。|Xiàngmù pínggū jìyào kàn shèhuì yǐngxiǎng, yě yào hésuàn chángqī jīngjì xiàoyì.|Project evaluation should consider both social impact and long-term economic benefits.
置身事内|第一章|资源错配|zīyuán cuòpèi|n.|misallocation of resources|廉价土地长期只给低效企业，会造成严重的资源错配。|Liánjià tǔdì chángqī zhǐ gěi dīxiào qǐyè, huì zàochéng yánzhòng de zīyuán cuòpèi.|Providing cheap land only to inefficient firms over a long period causes serious resource misallocation.
置身事内|第一章|信息不对称|xìnxī bú duìchèn|n.|information asymmetry|监管者不了解企业真实成本时，信息不对称会削弱政策效果。|Jiānguǎnzhě bù liǎojiě qǐyè zhēnshí chéngběn shí, xìnxī bú duìchèn huì xuēruò zhèngcè xiàoguǒ.|When regulators do not know firms' true costs, information asymmetry weakens policy effectiveness.
置身事内|第一章|信息失真|xìnxī shīzhēn|n.|information distortion|数据经过层层汇总后，夸大成绩可能导致信息失真。|Shùjù jīngguò céngcéng huìzǒng hòu, kuādà chéngjì kěnéng dǎozhì xìnxī shīzhēn.|As data are aggregated through successive levels, exaggerated achievements may distort the information.
置身事内|第一章|信息传递|xìnxī chuándì|n.|transmission of information|缩短汇报链条有助于提高紧急情况下的信息传递速度。|Suōduǎn huìbào liàntiáo yǒuzhùyú tígāo jǐnjíqíngkuàng xià de xìnxī chuándì sùdù.|Shortening reporting chains helps accelerate information transmission during emergencies.
置身事内|第一章|信息渠道|xìnxī qúdào|n.|information channel|居民可以通过热线和听证会等信息渠道反映诉求。|Jūmín kěyǐ tōngguò rèxiàn hé tīngzhènghuì děng xìnxī qúdào fǎnyìng sùqiú.|Residents can express their concerns through information channels such as hotlines and public hearings.
置身事内|第一章|信息成本|xìnxī chéngběn|n.|information cost|跨部门共享数据库能显著降低政府决策的信息成本。|Kuàbùmén gòngxiǎng shùjùkù néng xiǎnzhù jiàngdī zhèngfǔ juécè de xìnxī chéngběn.|Sharing databases across departments can significantly reduce the information costs of government decision-making.
置身事内|第一章|委托代理|wěituō dàilǐ|n.|principal-agent relationship|中央制定目标、地方负责执行，形成了典型的委托代理关系。|Zhōngyāng zhìdìng mùbiāo, dìfāng fùzé zhíxíng, xíngchéng le diǎnxíng de wěituō dàilǐ guānxì.|When the center sets goals and localities implement them, a typical principal-agent relationship arises.
置身事内|第一章|利益冲突|lìyì chōngtū|n.|conflict of interest|监管部门既办企业又管企业，容易产生利益冲突。|Jiānguǎnbùmén jìbàn qǐyè yòu guǎn qǐyè, róngyì chǎnshēng lìyì chōngtū.|When a regulator both runs and supervises enterprises, conflicts of interest easily arise.
置身事内|第一章|利益诉求|lìyì sùqiú|n.|stakeholder interests or demands|制定征地方案前，政府应充分听取农户的利益诉求。|Zhìdìng zhēngdì fāng'àn qián, zhèngfǔ yīng chōngfèn tīngqǔ nónghù de lìyì sùqiú.|Before drafting a land-acquisition plan, the government should fully hear farmers' interests and demands.
置身事内|第一章|目标函数|mùbiāo hánshù|n.|objective function|地方官员的目标函数可能同时包含增长、就业和晋升。|Dìfāng guānyuán de mùbiāo hánshù kěnéng tóngshí bāohán zēngzhǎng, jiùyè hé jìnshēng.|A local official's objective function may include growth, employment, and promotion at the same time.
置身事内|第一章|政绩|zhèngjì|n.|political or official performance record|只以短期投资规模评价政绩，可能诱发重复建设。|Zhǐyǐ duǎnqītóuzī guīmó píngjià zhèngjì, kěnéng yòufā chóngfù jiànshè.|Judging official performance only by short-term investment can induce redundant construction.
