Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
169|Unit 3|弊病|bìbìng|n.|drawback; malpractice|||
170|Unit 3|弊端|bìduān|n.|malpractice; abuse|||
171|Unit 3|壁画|bìhuà|n.|mural|||
172|Unit 3|避难|bìnàn|v.|take refuge|||
173|Unit 3|避暑|bìshǔ|v.|spend the summer away from heat|||
174|Unit 3|边疆|biānjiāng|n.|frontier region|||
175|Unit 3|边界|biānjiè|n.|boundary; border|||
176|Unit 3|边远|biānyuǎn|adj.|remote|||
177|Unit 3|编号|biānhào|n.|serial number|||
178|Unit 3|编剧|biānjù|n.|screenwriter|||
179|Unit 3|编排|biānpái|v.|arrange; choreograph|||
180|Unit 3|编写|biānxiě|v.|write; compile|||
361|Unit 7|差错|chācuò|n.|error|做事不专心就容易出差错。|zuò shì bù zhuānxīn jiù róngyì chū chācuò.|If you do things without concentrating, mistakes are easy to make.
362|Unit 7|差额|chā'é|n.|difference|贸易差额；补足差额|màoyì chā'é; bǔzú chā'é|trade difference; make up the difference
363|Unit 7|插手|chāshǒu|v.|meddle in; lend a hand|这件事情你不要插手；我插不上手，帮不了你|zhè jiàn shìqing nǐ bú yào chāshǒu; wǒ chā bu shàng shǒu, bāng bù liǎo nǐ|Don't meddle in this matter; I can't get involved, so I can't help you
364|Unit 7|插图|chātú|n.|illustration|彩色插图；插图丰富|cǎisè chātú; chātú fēngfù|color illustrations; rich in illustrations
365|Unit 7|插嘴|chāzuǐ|v.|interrupt|别插嘴；插不上嘴|bié chāzuǐ; chā bu shàng zuǐ|don't interrupt; cannot get a word in
366|Unit 7|茶道|chádào|n.|tea ceremony|懂茶道；学习茶道|dǒng chádào; xuéxí chádào|understand tea ceremony; study tea ceremony
367|Unit 7|茶馆儿|cháguǎnr|n.|teahouse|一家茶馆儿；在茶馆儿里聊天儿|yì jiā cháguǎnr; zài cháguǎnr lǐ liáotiānr|a teahouse; chat in a teahouse
368|Unit 7|查处|cháchǔ|v.|investigate and deal with accordingly|严格查处；查处侵权案件|yángé cháchǔ; cháchǔ qīnquán ànjiàn|strictly investigate and handle; investigate and handle infringement cases
369|Unit 7|查明|chámíng|v.|find out|查明真相；查明原因|chámíng zhēnxiàng; chámíng yuányīn|find out the truth; find out the reason
370|Unit 7|查找|cházhǎo|v.|look for|查找车主；查找资料|cházhǎo chēzhǔ; cházhǎo zīliào|look for the car owner; look for materials
371|Unit 7|察觉|chájué|v.|become aware of|被人察觉；察觉到危险|bèi rén chájué; chájué dào wēixiǎn|be noticed by others; become aware of danger
372|Unit 7|察看|chákàn|v.|watch; inspect|察看现场；察看动静|chákàn xiànchǎng; chákàn dòngjing|inspect the scene; watch for movement
373|Unit 7|诧异|chàyì|adj.|surprised|十分诧异；感到诧异|shífēn chàyì; gǎndào chàyì|very surprised; feel surprised
374|Unit 7|掺|chān|v.|mix|掺在一起；掺点儿水|chān zài yìqǐ; chān diǎnr shuǐ|mix together; add a little water
375|Unit 7|搀|chān|v.|assist by the arm|搀着奶奶；搀进屋|chān zhe nǎinai; chān jìn wū|support grandma by the arm; help someone into the room
376|Unit 7|馋|chán|adj./v.|greedy; desire a particular food|嘴馋；眼馋；馋奶茶；馋饺子|zuǐchán; yǎnchán; chán nǎichá; chán jiǎozi|gluttonous; envious; crave milk tea; crave dumplings
377|Unit 7|禅杖|chánzhàng|n.|Buddhist monk's staff|一根禅杖；拄着禅杖|yì gēn chánzhàng; zhǔ zhe chánzhàng|a Buddhist monk's staff; lean on a monk's staff
378|Unit 7|缠|chán|v.|twine; entangle|缠毛线；他最近工作缠身，连休息的时间也没有|chán máoxiàn; tā zuìjìn gōngzuò chánshēn, lián xiūxi de shíjiān yě méiyǒu|wind yarn; he has been tied up with work recently and has no time even to rest
379|Unit 7|产|chǎn|v.|give birth to; yield; produce|她产下了一个男孩儿；这里产的花生味道很好|tā chǎnxià le yí ge nánháir; zhèlǐ chǎn de huāshēng wèidao hěn hǎo|She gave birth to a boy; the peanuts produced here taste very good
380|Unit 7|产地|chǎndì|n.|place of origin|山东省是中国苹果的主要产地之一。|Shāndōng Shěng shì Zhōngguó píngguǒ de zhǔyào chǎndì zhī yī.|Shandong Province is one of China's main apple-producing areas.
381|Unit 7|产物|chǎnwù|n.|product|自然产物；时代的产物|zìrán chǎnwù; shídài de chǎnwù|natural product; product of the times
382|Unit 7|产值|chǎnzhí|n.|output value|工业产值；平均年产值|gōngyè chǎnzhí; píngjūn nián chǎnzhí|industrial output value; average annual output value
383|Unit 7|铲|chǎn|v.|lift/move with a shovel|铲平；铲草|chǎnpíng; chǎn cǎo|level with a shovel; shovel grass
384|Unit 7|铲子|chǎnzi|n.|shovel|一把铲子；用铲子挖|yì bǎ chǎnzi; yòng chǎnzi wā|a shovel; dig with a shovel
385|Unit 7|阐述|chǎnshù|v.|elaborate|阐述观点；详细阐述|chǎnshù guāndiǎn; xiángxì chǎnshù|elaborate a viewpoint; explain in detail
386|Unit 7|颤抖|chàndǒu|v.|tremble|冻得全身颤抖；树叶在风中颤抖；微微颤抖|dòng de quánshēn chàndǒu; shùyè zài fēng zhōng chàndǒu; wēiwēi chàndǒu|tremble all over from cold; leaves tremble in the wind; tremble slightly
387|Unit 7|猖狂|chāngkuáng|adj.|fierce|猖狂的敌人；猖狂进攻|chāngkuáng de dírén; chāngkuáng jìngōng|fierce enemies; attack fiercely
388|Unit 7|长达|chángdá|v.|lengthen out to|长达10年；长达35公里|chángdá shí nián; chángdá sānshíwǔ gōnglǐ|last as long as 10 years; extend as long as 35 kilometers
389|Unit 7|长期以来|chángqī yǐlái|phrase|for a long time|长期以来的努力；长期以来一直坚持|chángqī yǐlái de nǔlì; chángqī yǐlái yìzhí jiānchí|long-term efforts; have persisted for a long time
390|Unit 7|长效|chángxiào|n./adj.|lasting effect; long-lasting|这种药有长效；收到长效；长效药品；长效机制|zhè zhǒng yào yǒu chángxiào; shōudào chángxiào; chángxiào yàopǐn; chángxiào jīzhì|this medicine has a lasting effect; achieve lasting effect; long-lasting medicine; long-term mechanism
391|Unit 7|长征|chángzhēng|n.|Long March|长征精神；长征路线|chángzhēng jīngshén; chángzhēng lùxiàn|Long March spirit; Long March route
392|Unit 7|长足|chángzú|adj.|rapid; remarkable|长足的发展；长足的进步|chángzú de fāzhǎn; chángzú de jìnbù|rapid development; remarkable progress
393|Unit 7|常理|chánglǐ|n.|convention|按常理；符合常理|àn chánglǐ; fúhé chánglǐ|according to common sense; conform to common sense
394|Unit 7|常人|chángrén|n.|ordinary people|与常人不同；异于常人|yǔ chángrén bùtóng; yì yú chángrén|different from ordinary people; unlike ordinary people
395|Unit 7|常态|chángtài|n.|normal behavior; normalcy|恢复常态；一反常态|huīfù chángtài; yì fǎn chángtài|return to normal; contrary to the usual state
396|Unit 7|常温|chángwēn|n.|normal temperature|常温牛奶；常温下储存|chángwēn niúnǎi; chángwēn xià chǔcún|room-temperature milk; store at normal temperature
397|Unit 7|偿还|chánghuán|v.|repay|及时偿还；偿还贷款|jíshí chánghuán; chánghuán dàikuǎn|repay promptly; repay a loan
398|Unit 7|嫦娥|Cháng'é|n.|Chang'e|嫦娥的故事；嫦娥奔月|Cháng'é de gùshi; Cháng'é bēn yuè|the story of Chang'e; Chang'e flies to the moon
399|Unit 7|厂家|chǎngjiā|n.|manufacturer|生产厂家；参展厂家|shēngchǎn chǎngjiā; cānzhǎn chǎngjiā|manufacturer; exhibiting manufacturer
400|Unit 7|敞开|chǎngkāi|v.|open wide|敞开大门；敞开窗户|chǎngkāi dàmén; chǎngkāi chuānghu|open the gate wide; open the windows wide
401|Unit 7|畅谈|chàngtán|v.|talk freely and cheerfully|和朋友畅谈；畅谈过去的生活|hé péngyou chàngtán; chàngtán guòqù de shēnghuó|talk freely with friends; talk freely about past life
402|Unit 7|畅销|chàngxiāo|v.|sell well|畅销全国；畅销书|chàngxiāo quánguó; chàngxiāoshū|sell well nationwide; bestseller
403|Unit 7|倡议|chàngyì|v./n.|propose; proposal|倡议向灾区捐款；倡议保护环境；提一个倡议；赞成他的倡议|chàngyì xiàng zāiqū juānkuǎn; chàngyì bǎohù huánjìng; tí yí ge chàngyì; zànchéng tā de chàngyì|propose donating to the disaster area; propose protecting the environment; make a proposal; support his proposal
404|Unit 7|抄袭|chāoxí|v.|plagiarize|抄袭别人；抄袭他的作品|chāoxí biérén; chāoxí tā de zuòpǐn|plagiarize others; plagiarize his work
405|Unit 7|钞票|chāopiào|n.|banknote|一张钞票；一百元一张的钞票|yì zhāng chāopiào; yì bǎi yuán yì zhāng de chāopiào|a banknote; a one-hundred-yuan banknote
406|Unit 7|超标|chāobiāo|verb-object|exceed the standard|体重超标；超标收费|tǐzhòng chāobiāo; chāobiāo shōufèi|exceed the weight standard; charge above the standard
407|Unit 7|超车|chāochē|verb-object|overtake other vehicles on the road|不准超车；弯道超车|bù zhǔn chāochē; wāndào chāochē|overtaking is not allowed; overtake on a curve
408|Unit 7|超前|chāoqián|adj./v.|transcending the present; exceed predecessors|超前消费；超前教育；这是一个超前绝后的理论，它的提出会改变世界。|chāoqián xiāofèi; chāoqián jiàoyù; zhè shì yí ge chāoqián juéhòu de lǐlùn, tā de tíchū huì gǎibiàn shìjiè|consumption ahead of one's means; advanced education; this is an unprecedented theory, and its proposal will change the world
409|Unit 7|超速|chāosù|v.|exceed the speed limit|超速开车；超速记录|chāosù kāichē; chāosù jìlù|drive over the speed limit; speeding record
410|Unit 7|朝代|cháodài|n.|dynasty|朝代更替；中国古代的朝代|cháodài gēngtì; Zhōngguó gǔdài de cháodài|change of dynasties; dynasties of ancient China
411|Unit 7|朝着|cháozhe|prep.|face; toward|朝着学校前进；朝着正确方向走|cháozhe xuéxiào qiánjìn; cháozhe zhèngquè fāngxiàng zǒu|advance toward the school; move in the correct direction
412|Unit 7|嘲弄|cháonòng|v.|ridicule|不要嘲弄别人；故意嘲弄|bú yào cháonòng biérén; gùyì cháonòng|don't ridicule others; deliberately ridicule
413|Unit 7|嘲笑|cháoxiào|v.|laugh at|怕别人嘲笑；受到嘲笑|pà biérén cháoxiào; shòudào cháoxiào|fear being laughed at by others; be laughed at
414|Unit 7|吵嘴|chǎozuǐ|verb-object|quarrel|和他吵嘴；吵了几句嘴|hé tā chǎozuǐ; chǎo le jǐ jù zuǐ|quarrel with him; had a brief quarrel
415|Unit 7|车道|chēdào|n.|vehicle lane|双向车道；快车道|shuāngxiàng chēdào; kuàichēdào|two-way lane; fast lane
416|Unit 7|车祸|chēhuò|n.|traffic accident|一起车祸；发生车祸|yì qǐ chēhuò; fāshēng chēhuò|a traffic accident; a traffic accident occurs
417|Unit 7|车间|chējiān|n.|workshop|生产车间；加工车间|shēngchǎn chējiān; jiāgōng chējiān|production workshop; processing workshop
418|Unit 7|车轮|chēlún|n.|wheel|最早的汽车只有3个车轮；历史的车轮|zuìzǎo de qìchē zhǐ yǒu sān ge chēlún; lìshǐ de chēlún|the earliest cars had only three wheels; the wheel of history
419|Unit 7|车速|chēsù|n.|speed of a vehicle|有车速限制；降低车速|yǒu chēsù xiànzhì; jiàngdī chēsù|there is a speed limit; reduce vehicle speed
420|Unit 7|车位|chēwèi|n.|parking place|找不到车位；有空车位|zhǎo bú dào chēwèi; yǒu kōng chēwèi|cannot find a parking space; there is an empty parking space
541|Unit 10|出毛病|chū máobing|verb-object|go wrong|电脑出毛病了；身体出了毛病|diànnǎo chū máobing le; shēntǐ chū le máobing|The computer went wrong; something went wrong with the body
542|Unit 10|出难题|chū nántí|verb-object|put/pose a difficult question|给……出难题|gěi ... chū nántí|make things difficult for someone
543|Unit 10|出人意料|chū rén yìliào|idiom|be beyond all expectations|这里的变化出人意料；出人意料的结果|zhèlǐ de biànhuà chū rén yìliào; chū rén yìliào de jiéguǒ|The changes here are unexpected; an unexpected result
544|Unit 10|出任|chūrèn|v.|take up the post of|出任校长；出任足球协会主席|chūrèn xiàozhǎng; chūrèn zúqiú xiéhuì zhǔxí|take up the post of principal; take up the post of football association chair
545|Unit 10|出山|chūshān|verb-object|become an official; engage in a certain job|他这次担任篮球教练，已经是第二次出山了。|tā zhè cì dānrèn lánqiú jiàoliàn, yǐjīng shì dì èr cì chūshān le|This time serving as basketball coach is already his second time coming out to take a post.
546|Unit 10|出身|chūshēn|v./n.|be derived from; background|出身于工人家庭；工人家庭出身；穷苦出身|chūshēn yú gōngrén jiātíng; gōngrén jiātíng chūshēn; qióngkǔ chūshēn|come from a worker's family; from a worker's family background; from a poor background
547|Unit 10|出示|chūshì|v.|show|出示证件；出示一下儿车票|chūshì zhèngjiàn; chūshì yíxiàr chēpiào|show identification; show the ticket briefly
548|Unit 10|出手|chūshǒu|verb-object|sell; produce; offer; start to take action|这批货急着出手；一出手就给了她3000块钱；多部门联合出手治理环境污染问题|zhè pī huò jízhe chūshǒu; yì chūshǒu jiù gěi le tā sānqiān kuài qián; duō bùmén liánhé chūshǒu zhìlǐ huánjìng wūrǎn wèntí|This batch of goods is being sold urgently; as soon as he acted he gave her 3000 yuan; several departments jointly took action to manage environmental pollution
549|Unit 10|出头|chūtóu|verb-object|expose the top; take the lead; free oneself; be a little over|“申”和“甲”很像，但“申”的竖是出头的；我们学校的篮球协会是他出头做起来的；苦了这么多年，终于等到出头之日了；他今年30出头|"shēn" hé "jiǎ" hěn xiàng, dàn "shēn" de shù shì chūtóu de; wǒmen xuéxiào de lánqiú xiéhuì shì tā chūtóu zuò qǐlái de; kǔ le zhème duō nián, zhōngyú děng dào chūtóu zhī rì le; tā jīnnián sānshí chūtóu|"申" and "甲" look alike, but the vertical stroke in "申" sticks out; our school's basketball association was started with him taking the lead; after suffering so many years, the day of relief finally came; he is a little over thirty this year
550|Unit 10|出土|chūtǔ|verb-object|be unearthed; come up out of the ground|出土文物；刚出土的小草|chūtǔ wénwù; gāng chūtǔ de xiǎocǎo|unearthed cultural relics; grass that has just come out of the ground
551|Unit 10|出息|chūxi|n.|promise; prospects|他很有出息，从农村出来，靠自己一路读到了博士。|tā hěn yǒu chūxi, cóng nóngcūn chūlái, kào zìjǐ yílù dú dào le bóshì|He has great promise; he came from the countryside and studied all the way to a doctorate through his own efforts.
552|Unit 10|出血|chūxiě|verb-object|bleed; pay/cough up|手指出血了；为了请朋友吃饭，他出了不少血|shǒuzhǐ chūxiě le; wèile qǐng péngyou chīfàn, tā chū le bù shǎo xiě|His finger is bleeding; to treat his friends to dinner, he spent quite a lot
553|Unit 10|出演|chūyǎn|v.|play the role of|出演电影；出演话剧|chūyǎn diànyǐng; chūyǎn huàjù|act in a film; act in a play
554|Unit 10|出洋相|chū yángxiàng|verb-object|make a fool of oneself|他喝醉以后，出了不少洋相。|tā hēzuì yǐhòu, chū le bù shǎo yángxiàng|After he got drunk, he made quite a fool of himself.
555|Unit 10|出游|chūyóu|v.|travel|一起出游；出游路线|yìqǐ chūyóu; chūyóu lùxiàn|travel together; travel route
556|Unit 10|出众|chūzhòng|adj.|outstanding|能力出众；成绩出众|nénglì chūzhòng; chéngjì chūzhòng|outstanding ability; outstanding grades
557|Unit 10|出主意|chū zhǔyi|verb-object|offer advice|帮我出主意；出了一个好主意|bāng wǒ chū zhǔyi; chū le yí ge hǎo zhǔyi|help me come up with ideas; came up with a good idea
558|Unit 10|出资|chūzī|v.|provide funds|出资购买；学校出资|chūzī gòumǎi; xuéxiào chūzī|provide funds to purchase; the school provides the funds
559|Unit 10|出自|chūzì|v.|come from|出自这本书；出自他的设计|chūzì zhè běn shū; chūzì tā de shèjì|come from this book; come from his design
560|Unit 10|出走|chūzǒu|v.|run away|离家出走；出走半年|líjiā chūzǒu; chūzǒu bànnián|run away from home; be gone for half a year
561|Unit 10|初次|chūcì|n.|first time|初次见面；初次参加|chūcì jiànmiàn; chūcì cānjiā|first meeting; participate for the first time
562|Unit 10|初衷|chūzhōng|n.|original intention|不改初衷；表明初衷|bù gǎi chūzhōng; biǎomíng chūzhōng|not change one's original intention; state one's original intention
563|Unit 10|除此之外|chú cǐ zhī wài|phrase|in addition to this|除此之外，还……|chú cǐ zhī wài, hái ...|in addition to this, also ...
564|Unit 10|除去|chúqù|v./prep.|get rid of; except for|除去杂草；除去水分；她除去上班，其他时间都在家|chúqù zácǎo; chúqù shuǐfèn; tā chúqù shàngbān, qítā shíjiān dōu zài jiā|remove weeds; remove moisture; except for going to work, she is at home the rest of the time
565|Unit 10|除外|chúwài|v.|except|他除外，还有两个人；博物馆天天开放，星期一除外|tā chúwài, hái yǒu liǎng ge rén; bówùguǎn tiāntiān kāifàng, xīngqīyī chúwài|except for him, there are two other people; the museum is open every day except Monday
566|Unit 10|处方|chǔfāng|v./n.|prescribe; prescription|不是医生，没有处方权；按处方抓药；开处方|bú shì yīshēng, méiyǒu chǔfāng quán; àn chǔfāng zhuāyào; kāi chǔfāng|not being a doctor, one has no right to prescribe; get medicine according to a prescription; write a prescription
567|Unit 10|处境|chǔjìng|n.|situation|处境困难；处境危险|chǔjìng kùnnan; chǔjìng wēixiǎn|in a difficult situation; in a dangerous situation
568|Unit 10|处置|chǔzhì|v.|handle; punish|合理处置；依法处置|hélǐ chǔzhì; yīfǎ chǔzhì|handle reasonably; handle according to law
569|Unit 10|储备|chǔbèi|v./n.|reserve; reserves|储备过冬的粮食；储备药品；充足的储备；储备不足|chǔbèi guòdōng de liángshi; chǔbèi yàopǐn; chōngzú de chǔbèi; chǔbèi bùzú|store grain for the winter; reserve medicine; ample reserves; insufficient reserves
