Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
Unit 28 Business|宏观|hóngguān|adjective|macroscopic; macro|我们要从宏观角度看经济问题。|Wǒmen yào cóng hóngguān jiǎodù kàn jīngjì wèntí.|We need to look at economic issues from a macro perspective.
Unit 28 Business|宏伟|hóngwěi|adjective|grand; magnificent|他们制定了一个宏伟的计划。|Tāmen zhìdìngle yí ge hóngwěi de jìhuà.|They made a grand plan.
Unit 28 Business|洪亮|hóngliàng|adjective|loud and clear|他的声音洪亮，适合做主持人。|Tā de shēngyīn hóngliàng, shìhé zuò zhǔchírén.|His voice is loud and clear, suitable for being a host.
Unit 28 Business|哄|hǒng|verb|to fool; to coax|她很会哄孩子。|Tā hěn huì hǒng háizi.|She is good at coaxing children.
Unit 28 Business|哄|hòng|verb|to clamor; to make an uproar|大家一哄而散。|Dàjiā yí hòng ér sàn.|Everyone scattered in a rush.
Unit 28 Business|喉咙|hóulóng|noun|throat|他说话太多，喉咙疼。|Tā shuōhuà tài duō, hóulóng téng.|He talked too much and his throat hurts.
Unit 28 Business|吼|hǒu|verb|to shout; to roar|他大吼一声，大家都安静了。|Tā dà hǒu yì shēng, dàjiā dōu ānjìng le.|He shouted loudly, and everyone became quiet.
Unit 28 Business|后备|hòubèi|adjective/noun|reserve; backup|球队需要更多后备力量。|Qiúduì xūyào gèng duō hòubèi lìliàng.|The team needs more reserve strength.
Unit 28 Business|后备箱|hòubèixiāng|noun|trunk|他把行李放在汽车的后备箱里。|Tā bǎ xíngli fàng zài qìchē de hòubèixiāng lǐ.|He put the luggage in the car trunk.
Unit 28 Business|后代|hòudài|noun|offspring; later generations|我们要为后代保护环境。|Wǒmen yào wèi hòudài bǎohù huánjìng.|We should protect the environment for future generations.
Unit 28 Business|后盾|hòudùn|noun|backing; support|家人是他坚强的后盾。|Jiārén shì tā jiānqiáng de hòudùn.|His family is his strong backing.
Unit 28 Business|后顾之忧|hòugùzhīyōu|noun phrase|trouble back at home; worries about the future|解决后顾之忧以后，他可以安心工作。|Jiějué hòugùzhīyōu yǐhòu, tā kěyǐ ānxīn gōngzuò.|After resolving his worries at home, he can work with peace of mind.
Unit 28 Business|后期|hòuqī|noun|later period|战争后期，局势发生了变化。|Zhànzhēng hòuqī, júshì fāshēngle biànhuà.|In the later period of the war, the situation changed.
